lower,upper,fortotals,habitat,round
01PLANT.Red Campion,02FV.Bracon sp,19.69379018,MH,14
01PLANT.Hogweed,02FV.Empis livida,19.69379018,MH,14
01PLANT.Hogweed,02FV.Anthophila fabriciana,19.69379018,MH,14
01PLANT.Hogweed,02FV.Empis livida,19.69379018,MH,14
01PLANT.Hogweed,02FV.Anthophila fabriciana,19.69379018,MH,14
01PLANT.Red Campion,02FV.Empis livida,19.69379018,MH,14
01PLANT.Cow Parsley,02FV.Empis livida,19.69379018,MH,14
01PLANT.Creeping Buttercup,02FV.Empis livida,19.69379018,MH,14
01PLANT.Cow Parsley,02FV.Phasia pusilla,19.69379018,MH,14
01PLANT.Cow Parsley,02FV.Empis livida,19.69379018,MH,14
01PLANT.Cow Parsley,02FV.Empis livida,19.69379018,MH,14
01PLANT.Creeping Buttercup,02FV.Agriotes pallidulus,19.69379018,MH,14
01PLANT.Cow Parsley,02FV.Psyllidae sp,19.69379018,MH,14
01PLANT.Bramble,02FV.Episyrphus balteatus,19.69379018,MH,15
01PLANT.Bramble,02FV.Bombus pascuorum,19.69379018,MH,15
01PLANT.Bramble,02FV.Platycheirus albimanus,19.69379018,MH,15
01PLANT.Creeping Thistle,02FV.Dilophus febrilis,19.69379018,MH,16
01PLANT.Creeping Thistle,02FV.Theroscopus sp,19.69379018,MH,16
01PLANT.Bramble,02FV.Apis mellifera,19.69379018,MH,16
01PLANT.Bramble,02FV.Apis mellifera,19.69379018,MH,16
01PLANT.Bramble,02FV.Bombus terrestris,19.69379018,MH,16
01PLANT.Creeping Thistle,02FV.Dilophus febrilis,19.69379018,MH,16
01PLANT.Bramble,02FV.Rhagonycha fulva,19.69379018,MH,16
01PLANT.Bramble,02FV.Platycheirus albimanus,19.69379018,MH,16
01PLANT.Bramble,02FV.Pollenia pediculata,19.69379018,MH,16
01PLANT.Bramble,02FV.Sepsis cynipsea or neocynipsea,19.69379018,MH,16
01PLANT.Bramble,02FV.Apis mellifera,19.69379018,MH,16
01PLANT.Bramble,02FV.Bombus terrestris,19.69379018,MH,16
01PLANT.Creeping Thistle,02FV.Rhinophora lepida,19.69379018,MH,16
01PLANT.Creeping Thistle,02FV.Bombus lapidarius,19.69379018,MH,16
01PLANT.Creeping Thistle,02FV.Dilophus febrilis,19.69379018,MH,16
01PLANT.Creeping Thistle,02FV.Dilophus febrilis,19.69379018,MH,16
01PLANT.Creeping Thistle,02FV.Theroscopus sp,19.69379018,MH,16
01PLANT.Bramble,02FV.Pegoplata aestiva or Adia cinerella,19.69379018,MH,16
01PLANT.Bramble,02FV.Bombus terrestris,19.69379018,MH,16
01PLANT.Creeping Thistle,02FV.Pierretia sp,19.69379018,MH,16
01PLANT.Bramble,02FV.Eristalis pertinax,19.69379018,MH,16
01PLANT.Bramble,02FV.Apis mellifera,19.69379018,MH,16
01PLANT.Creeping Thistle,02FV.Rhinophora lepida,19.69379018,MH,16
01PLANT.Bramble,02FV.Pegoplata aestiva or Adia cinerella,19.69379018,MH,16
01PLANT.Bramble,02FV.Apis mellifera,19.69379018,MH,16
01PLANT.Creeping Thistle,02FV.Dilophus febrilis,19.69379018,MH,16
01PLANT.Creeping Thistle,02FV.Pegoplata aestiva or Adia cinerella,19.69379018,MH,16
01PLANT.Creeping Buttercup,02FV.Glyphipterix simpliciella,19.69379018,MH,13
01PLANT.Creeping Buttercup,02FV.Platycheirus albimanus,19.69379018,MH,13
01PLANT.Hawthorn,02FV.Cantharis decipiens,19.69379018,MH,13
01PLANT.Creeping Buttercup,02FV.Melanostoma sp,19.69379018,MH,13
01PLANT.Hawthorn,02FV.Scathophaga stercoraria,19.69379018,MH,13
01PLANT.Hawthorn,02FV.Dilophus febrilis,19.69379018,MH,13
01PLANT.Hawthorn,02FV.Scathophaga stercoraria,19.69379018,MH,13
01PLANT.Creeping Buttercup,02FV.Pegoplata aestiva or Adia cinerella,19.69379018,MH,13
01PLANT.Hawthorn,02FV.Scathophaga stercoraria,19.69379018,MH,13
01PLANT.Hawthorn,02FV.Chlorops hypostigma,19.69379018,MH,13
01PLANT.Hawthorn,02FV.Platycheirus albimanus,19.69379018,MH,13
01PLANT.Bramble,02FV.Apis mellifera,19.69379018,MH,15
01PLANT.Bramble,02FV.Apis mellifera,19.69379018,MH,15
01PLANT.Bramble,02FV.Apis mellifera,19.69379018,MH,15
01PLANT.Bramble,02FV.Ichneumonidae,19.69379018,MH,15
01PLANT.Bramble,02FV.Syritta pipiens,19.69379018,MH,15
01PLANT.Creeping Thistle,02FV.Botanophila striolata,19.69379018,MH,15
01PLANT.Bramble,02FV.Bombus lapidarius,19.69379018,MH,15
01PLANT.Bramble,02FV.Apis mellifera,19.69379018,MH,15
01PLANT.Bramble,02FV.Apis mellifera,19.69379018,MH,15
01PLANT.Bramble,02FV.Apis mellifera,19.69379018,MH,15
01PLANT.Bramble,02FV.Apis mellifera,19.69379018,MH,15
01PLANT.Bramble,02FV.Cephus pygmaeus,19.69379018,MH,15
01PLANT.Bramble,02FV.Platycheirus nielseni,19.69379018,MH,15
01PLANT.Bramble,02FV.Apis mellifera,19.69379018,MH,15
01PLANT.Bramble,02FV.Sphaerophoria sp,19.69379018,MH,15
01PLANT.Creeping Thistle,02FV.Lasioglossum sp,19.69379018,MH,15
01PLANT.Cow Parsley,02FV.Scathophaga stercoraria,19.69379018,MH,13
01PLANT.Rose sp,02FV.Pegoplata aestiva or Adia cinerella,19.69379018,MH,15
01PLANT.Hedge Woundwort,02FV.Bombus hortorum,19.69379018,MH,15
01PLANT.Wayfaring-tree,02FV.Empis livida,8.708770463,NH,14
01PLANT.Lesser Stitchwort,02FV.Empis livida,8.708770463,NH,14
01PLANT.Lesser Stitchwort,02FV.Empis livida,8.708770463,NH,14
01PLANT.Hedge Woundwort,02FV.Bombus hortorum,8.708770463,NH,14
01PLANT.Hedge Woundwort,02FV.Bombus hortorum,8.708770463,NH,14
01PLANT.Hedge Woundwort,02FV.Bombus hortorum,8.708770463,NH,14
01PLANT.Lesser Stitchwort,02FV.Empis livida,8.708770463,NH,14
01PLANT.Ragwort,02FV.Pyronia tithonus,6.531577848,NH,16
01PLANT.Ragwort,02FV.Neomyia cornicina,6.531577848,NH,16
01PLANT.Ragwort,02FV.Eristalis arbustorum,6.531577848,NH,16
01PLANT.Ragwort,02FV.Neomyia cornicina,6.531577848,NH,16
01PLANT.Ragwort,02FV.Botanophila fugax,6.531577848,NH,16
01PLANT.Ragwort,02FV.Platycheirus albimanus,6.531577848,NH,16
01PLANT.Ragwort,02FV.Botanophila fugax,6.531577848,NH,16
01PLANT.Ragwort,02FV.Syritta pipiens,6.531577848,NH,16
01PLANT.Ragwort,02FV.Lucilia richardsi,6.531577848,NH,16
01PLANT.Ragwort,02FV.Melinda viridicyanea,6.531577848,NH,16
01PLANT.Ragwort,02FV.Eriothrix rufomaculata,6.531577848,NH,16
01PLANT.Ragwort,02FV.Sphaerophoria sp,6.531577848,NH,16
01PLANT.Ragwort,02FV.Pyronia tithonus,6.531577848,NH,16
01PLANT.Ragwort,02FV.Sphaerophoria scripta,6.531577848,NH,16
01PLANT.Ragwort,02FV.Sphaerophoria sp,6.531577848,NH,16
01PLANT.Ragwort,02FV.Eristalis pertinax,6.531577848,NH,16
01PLANT.Ragwort,02FV.Eupeodes corollae,6.531577848,NH,16
01PLANT.Ragwort,02FV.Sicus ferrugineus,6.531577848,NH,16
01PLANT.Ragwort,02FV.Sphaerophoria sp,6.531577848,NH,16
01PLANT.Ragwort,02FV.Eristalis arbustorum,6.531577848,NH,16
01PLANT.Ragwort,02FV.Sphaerophoria sp,6.531577848,NH,16
01PLANT.Ragwort,02FV.Sphaerophoria sp,6.531577848,NH,16
01PLANT.Ragwort,02FV.Melinda viridicyanea,6.531577848,NH,16
01PLANT.Ragwort,02FV.Sphaerophoria sp,6.531577848,NH,16
01PLANT.Ragwort,02FV.Sphaerophoria rueppellii,6.531577848,NH,16
01PLANT.Ragwort,02FV.Lucilia sericata,6.531577848,NH,16
01PLANT.Ragwort,02FV.Herina longistylata,6.531577848,NH,16
01PLANT.Ragwort,02FV.Neomyia viridescens,6.531577848,NH,16
01PLANT.Ragwort,02FV.Pyronia tithonus,6.531577848,NH,16
01PLANT.Ragwort,02FV.Sphaerophoria sp,6.531577848,NH,16
01PLANT.Ragwort,02FV.Lucilia caesar,6.531577848,NH,16
01PLANT.Ragwort,02FV.Psocoptera sp,6.531577848,NH,16
01PLANT.Spear Thistle,02FV.Bombus pascuorum,6.531577848,NH,16
01PLANT.Ragwort,02FV.Syritta pipiens,6.531577848,NH,16
01PLANT.Ragwort,02FV.Sphaerophoria sp,6.531577848,NH,16
01PLANT.Sow-thistle sp,02FV.Sphaerophoria sp,6.531577848,NH,16
01PLANT.Ragwort,02FV.Calliphora vomitoria,6.531577848,NH,16
01PLANT.Ragwort,02FV.Eristalis pertinax,6.531577848,NH,16
01PLANT.Clover sp,02FV.Bombus pascuorum,6.531577848,NH,16
01PLANT.Ragwort,02FV.Sphaerophoria sp,6.531577848,NH,16
01PLANT.Sow-thistle sp,02FV.Apis mellifera,6.531577848,NH,16
01PLANT.Creeping Thistle,02FV.Empis livida,8.708770463,NH,15
01PLANT.Creeping Thistle,02FV.Rhagonycha fulva,8.708770463,NH,15
01PLANT.Creeping Thistle,02FV.Empis livida,8.708770463,NH,15
01PLANT.Creeping Thistle,02FV.Chrysopilus asiliformis,8.708770463,NH,15
01PLANT.Creeping Thistle,02FV.Empis livida,8.708770463,NH,15
01PLANT.Creeping Thistle,02FV.Empis livida,8.708770463,NH,15
01PLANT.Wild Privet,02FV.Dolerus haematodes,6.531577848,NH,13
01PLANT.Wayfaring-tree,02FV.Pollenia pediculata,6.531577848,NH,13
01PLANT.Creeping Thistle,02FV.Helophilus pendulus,6.531577848,NH,16
01PLANT.Common Mouse-ear,02FV.Neomyia cornicina,6.531577848,NH,16
01PLANT.Creeping Thistle,02FV.Helophilus pendulus,6.531577848,NH,16
01PLANT.Creeping Thistle,02FV.Dilophus febrilis,6.531577848,NH,16
01PLANT.Dogwood,02FV.Empis livida,8.708770463,NH,14
01PLANT.Dogwood,02FV.Empis livida,8.708770463,NH,14
01PLANT.Dogwood,02FV.Rhagio tringarius,8.708770463,NH,14
01PLANT.Dogwood,02FV.Empis livida,8.708770463,NH,14
01PLANT.Creeping Buttercup,02FV.Oedemera nobilis,8.708770463,NH,14
01PLANT.Dogwood,02FV.Empis livida,8.708770463,NH,14
01PLANT.Dogwood,02FV.Empis livida,8.708770463,NH,14
01PLANT.Creeping Buttercup,02FV.Oscinella nitidissima,8.708770463,NH,14
01PLANT.Creeping Buttercup,02FV.Oedemera lurida,8.708770463,NH,14
01PLANT.Creeping Buttercup,02FV.Empis livida,8.708770463,NH,14
01PLANT.Creeping Buttercup,02FV.Scathophaga stercoraria,8.708770463,NH,14
01PLANT.Creeping Buttercup,02FV.Botanophila striolata,8.708770463,NH,14
01PLANT.Creeping Buttercup,02FV.Cheilosia albitarsis,8.708770463,NH,14
01PLANT.Creeping Buttercup,02FV.Scathophaga stercoraria,8.708770463,NH,14
01PLANT.Creeping Buttercup,02FV.Empis livida,8.708770463,NH,14
01PLANT.Creeping Buttercup,02FV.Empis livida,8.708770463,NH,14
01PLANT.Creeping Buttercup,02FV.Empis livida,8.708770463,NH,14
01PLANT.Creeping Buttercup,02FV.Cantharis nigra,8.708770463,NH,14
01PLANT.Creeping Buttercup,02FV.Cephus pygmaeus,8.708770463,NH,14
01PLANT.Spear Thistle,02FV.Empis livida,8.708770463,NH,14
01PLANT.Hogweed,02FV.Chloromyia formosa,8.708770463,NH,14
01PLANT.Creeping Thistle,02FV.Empis livida,8.708770463,NH,15
01PLANT.Hawthorn,02FV.Chlorops pumilionis,6.531577848,NH,13
01PLANT.Hawthorn,02FV.Chlorops pumilionis,6.531577848,NH,13
01PLANT.Hawthorn,02FV.Platypalpus sp,6.531577848,NH,13
01PLANT.Hawthorn,02FV.Oedemera nobilis,6.531577848,NH,13
01PLANT.Hawthorn,02FV.Malachius bipustulatus,6.531577848,NH,13
01PLANT.Hawthorn,02FV.Chlorops pumilionis,6.531577848,NH,13
01PLANT.Hawthorn,02FV.Chlorops pumilionis,6.531577848,NH,13
01PLANT.Hawthorn,02FV.Oedemera nobilis,6.531577848,NH,13
01PLANT.Hawthorn,02FV.Delia sp,6.531577848,NH,13
01PLANT.Hawthorn,02FV.Malachius bipustulatus,6.531577848,NH,13
01PLANT.Hawthorn,02FV.Malachius bipustulatus,6.531577848,NH,13
01PLANT.Hawthorn,02FV.Andrena dorsata,6.531577848,NH,13
01PLANT.Hawthorn,02FV.Delia sp,6.531577848,NH,13
01PLANT.Hawthorn,02FV.Phyllonorycter sp,6.531577848,NH,13
01PLANT.Hawthorn,02FV.Malachius bipustulatus,6.531577848,NH,13
01PLANT.Hawthorn,02FV.Malachius bipustulatus,6.531577848,NH,13
01PLANT.Hawthorn,02FV.Malachius bipustulatus,6.531577848,NH,13
01PLANT.Hawthorn,02FV.Platycheirus albimanus,6.531577848,NH,13
01PLANT.Common Mouse-ear,02FV.Platycheirus albimanus,6.531577848,NH,13
01PLANT.Creeping Buttercup,02FV.Glyphipterix simpliciella,6.531577848,NH,13
01PLANT.Creeping Buttercup,02FV.Oscinella nitidissima,6.531577848,NH,13
01PLANT.Creeping Buttercup,02FV.Oscinella nitidissima,6.531577848,NH,13
01PLANT.Common Mouse-ear,02FV.Torymus sp,6.531577848,NH,13
01PLANT.Creeping Buttercup,02FV.Platypalpus sp,6.531577848,NH,13
01PLANT.Creeping Buttercup,02FV.Glyphipterix simpliciella,6.531577848,NH,13
01PLANT.Common Mouse-ear,02FV.Empis livida,6.531577848,NH,13
01PLANT.Creeping Buttercup,02FV.Glyphipterix simpliciella,6.531577848,NH,13
01PLANT.Daisy,02FV.Empis livida,739.5790043,PP,14
01PLANT.Daisy,02FV.Oscinella nitidissima,739.5790043,PP,14
01PLANT.Daisy,02FV.Pegoplata aestiva or Adia cinerella,739.5790043,PP,14
01PLANT.Daisy,02FV.Scathophaga stercoraria,739.5790043,PP,14
01PLANT.Creeping Buttercup,02FV.Formicidae B,739.5790043,PP,14
01PLANT.Creeping Buttercup,02FV.Formicidae B,739.5790043,PP,14
01PLANT.Common Mouse-ear,02FV.Empis livida,739.5790043,PP,14
01PLANT.Creeping Buttercup,02FV.Pegoplata aestiva or Adia cinerella,739.5790043,PP,14
01PLANT.Creeping Buttercup,02FV.Pegoplata aestiva or Adia cinerella,739.5790043,PP,14
01PLANT.Daisy,02FV.Scathophaga stercoraria,739.5790043,PP,14
01PLANT.Daisy,02FV.Scathophaga stercoraria,739.5790043,PP,14
01PLANT.Clover sp,02FV.Bombus pratorum,739.5790043,PP,14
01PLANT.Daisy,02FV.Scathophaga stercoraria,739.5790043,PP,14
01PLANT.Daisy,02FV.Scathophaga stercoraria,739.5790043,PP,14
01PLANT.Daisy,02FV.Empis livida,739.5790043,PP,14
01PLANT.Clover sp,02FV.Bombus lapidarius,739.5790043,PP,16
01PLANT.Creeping Buttercup,02FV.Platycheirus albimanus,739.5790043,PP,13
01PLANT.Creeping Buttercup,02FV.Scathophaga stercoraria,739.5790043,PP,13
01PLANT.Daisy,02FV.Scathophaga stercoraria,739.5790043,PP,13
01PLANT.Daisy,02FV.Scathophaga stercoraria,739.5790043,PP,13
01PLANT.Daisy,02FV.Scathophaga stercoraria,739.5790043,PP,13
01PLANT.Daisy,02FV.Scathophaga stercoraria,739.5790043,PP,13
01PLANT.Daisy,02FV.Scathophaga stercoraria,739.5790043,PP,13
01PLANT.Daisy,02FV.Scathophaga stercoraria,739.5790043,PP,13
01PLANT.Creeping Buttercup,02FV.Scathophaga stercoraria,739.5790043,PP,13
01PLANT.Creeping Buttercup,02FV.Scathophaga stercoraria,739.5790043,PP,13
01PLANT.Creeping Buttercup,02FV.Hydrellia maura,739.5790043,PP,13
01PLANT.Daisy,02FV.Scathophaga stercoraria,739.5790043,PP,13
01PLANT.Creeping Buttercup,02FV.Pegoplata aestiva or Adia cinerella,739.5790043,PP,15
01PLANT.Creeping Buttercup,02FV.Pegoplata aestiva or Adia cinerella,739.5790043,PP,15
01PLANT.Creeping Buttercup,02FV.Sepsis fulgens,739.5790043,PP,15
01PLANT.Creeping Thistle,02FV.Bombus pascuorum,19.69379018,MH,16
01PLANT.Bramble,02FV.Bombus pascuorum,19.69379018,MH,16
01PLANT.Creeping Thistle,02FV.Scathophaga stercoraria,19.69379018,MH,16
01PLANT.Creeping Thistle,02FV.Siphona geniculata,19.69379018,MH,16
01PLANT.Bramble,02FV.Episyrphus balteatus,19.69379018,MH,15
01PLANT.Rose sp,02FV.Pegoplata aestiva or Adia cinerella,19.69379018,MH,15
01PLANT.Herb Robert,02FV.Platycheirus albimanus,19.69379018,MH,15
01PLANT.Bramble,02FV.Empis livida,19.69379018,MH,15
01PLANT.Nipplewort,02FV.Pegoplata aestiva or Adia cinerella,19.69379018,MH,15
01PLANT.Red Campion,02FV.Empis livida,19.69379018,MH,13
01PLANT.Cow Parsley,02FV.Chlorops hypostigma,19.69379018,MH,13
01PLANT.Cow Parsley,02FV.Chlorops hypostigma,19.69379018,MH,13
01PLANT.Cow Parsley,02FV.Bicellaria vana,19.69379018,MH,13
01PLANT.Cow Parsley,02FV.Hylemya vagans,19.69379018,MH,13
01PLANT.Cow Parsley,02FV.Fannia sp,19.69379018,MH,13
01PLANT.Hawthorn,02FV.Glyphipterix simpliciella,19.69379018,MH,13
01PLANT.Cow Parsley,02FV.Chlorops hypostigma,19.69379018,MH,13
01PLANT.Cow Parsley,02FV.Chlorops hypostigma,19.69379018,MH,13
01PLANT.Cow Parsley,02FV.Chlorops hypostigma,19.69379018,MH,13
01PLANT.Cow Parsley,02FV.Chlorops hypostigma,19.69379018,MH,13
01PLANT.Cow Parsley,02FV.Anaspis maculata,19.69379018,MH,13
01PLANT.Cow Parsley,02FV.Chlorops hypostigma,19.69379018,MH,13
01PLANT.Red Campion,02FV.Ophiomyia sp,19.69379018,MH,13
01PLANT.Red Campion,02FV.Ophiomyia sp,19.69379018,MH,13
01PLANT.Red Campion,02FV.Bicellaria varia,19.69379018,MH,13
01PLANT.Red Campion,02FV.Bicellaria varia,19.69379018,MH,13
01PLANT.Red Campion,02FV.Bicellaria vana,19.69379018,MH,13
01PLANT.Red Campion,02FV.Pipiza noctiluca,19.69379018,MH,13
01PLANT.Red Campion,02FV.Melanostoma scalare,19.69379018,MH,13
01PLANT.Red Campion,02FV.Platycheirus albimanus,19.69379018,MH,14
01PLANT.Hogweed,02FV.Grammoptera ruficornis,19.69379018,MH,14
01PLANT.Hogweed,02FV.Anaspis maculata,19.69379018,MH,14
01PLANT.Hogweed,02FV.Cantharis nigra,19.69379018,MH,14
01PLANT.Hogweed,02FV.Scathophaga stercoraria,19.69379018,MH,14
01PLANT.Hogweed,02FV.Empis livida,19.69379018,MH,14
01PLANT.Hogweed,02FV.Empis livida,19.69379018,MH,14
01PLANT.Creeping Buttercup,02FV.Pegoplata aestiva or Adia cinerella,739.5790043,PP,15
01PLANT.Creeping Buttercup,02FV.Delia sp,739.5790043,PP,15
01PLANT.Creeping Buttercup,02FV.Rhagio tringarius,739.5790043,PP,14
