lower,upper,fortotals
01PLANT.Ajuga reptans,02FV.Rhingia campestris,1.49E+02
01PLANT.Alliaria petiolata,02FV.Simulium sp,4.97E+01
01PLANT.Anthriscus sylvestris,02FV.Agriotes pallidulus,1.97E+01
01PLANT.Anthriscus sylvestris,02FV.Anaspis maculata,1.97E+01
01PLANT.Anthriscus sylvestris,02FV.Anthocomus fasciatus,3.94E+01
01PLANT.Anthriscus sylvestris,02FV.Bicellaria vana,1.97E+01
01PLANT.Anthriscus sylvestris,02FV.Botanophila striolata,1.97E+01
01PLANT.Anthriscus sylvestris,02FV.Bracon sp,3.94E+01
01PLANT.Anthriscus sylvestris,02FV.Cantharis lateralis,3.94E+01
01PLANT.Anthriscus sylvestris,02FV.Chlorops hypostigma,4.52E+02
01PLANT.Anthriscus sylvestris,02FV.Chlorops pumilionis,1.90E+01
01PLANT.Anthriscus sylvestris,02FV.Dacnusa (maculipes),1.90E+01
01PLANT.Anthriscus sylvestris,02FV.Delia sp,3.94E+01
01PLANT.Anthriscus sylvestris,02FV.Dicraeus tibialis,1.90E+01
01PLANT.Anthriscus sylvestris,02FV.Dolichopus ungulatus,3.94E+01
01PLANT.Anthriscus sylvestris,02FV.Empis (Xanthempis) sp,1.97E+01
01PLANT.Anthriscus sylvestris,02FV.Empis caudatula,3.94E+01
01PLANT.Anthriscus sylvestris,02FV.Empis livida,7.88E+01
01PLANT.Anthriscus sylvestris,02FV.Empis nigripes,1.18E+02
01PLANT.Anthriscus sylvestris,02FV.Endasys sp,3.94E+01
01PLANT.Anthriscus sylvestris,02FV.Episyrphus balteatus,3.94E+01
01PLANT.Anthriscus sylvestris,02FV.Fannia serena,1.97E+01
01PLANT.Anthriscus sylvestris,02FV.Fannia sp,3.94E+01
01PLANT.Anthriscus sylvestris,02FV.Helina sp,7.88E+01
01PLANT.Anthriscus sylvestris,02FV.Hylemya vagans,1.97E+01
01PLANT.Anthriscus sylvestris,02FV.Microphor anomalus,1.97E+01
01PLANT.Anthriscus sylvestris,02FV.Miscogaster maculata,1.97E+01
01PLANT.Anthriscus sylvestris,02FV.Oscinella cariciphila,1.18E+02
01PLANT.Anthriscus sylvestris,02FV.Phaenocarpa (ruficeps),3.94E+01
01PLANT.Anthriscus sylvestris,02FV.Phaonia lasiophthalma,3.94E+01
01PLANT.Anthriscus sylvestris,02FV.Phasia pusilla,1.97E+01
01PLANT.Anthriscus sylvestris,02FV.Pimpla contemplator,3.94E+01
01PLANT.Anthriscus sylvestris,02FV.Platycheirus albimanus,1.97E+01
